Nr. ,Egz.,Autorius ,Pavadinimas ,Metai ,Puslapiai 
272,1,Poul Anderson,Žemės imperijos agentas,2003,256
273,1,John Barnes,Erdvėlaikio spąstuose,2003,256
274,1,Marek Oramus,Miegantys nugalėtojai,2003,224
275,,Harry Harrison,Į vakarus nuo Edeno (1 dalis),2003,240
276,,Harry Harrison,Į vakarus nuo Edeno (2 dalis),2003,272
277,1,Mike Resnick,Našliadirbys,2003,224
278,1,Eric Brown,Prietema,2003,256
279,1,Glen Cook,Plieniniai sapnai,2003,288
280,,Clifford D. Simak,"Tai, kas lemta",2003,224
281,užs.,"Arkadij Strugackij, Boris Strugackij",Gyvenama sala,2003,288
282,1,Alan Dean Foster,Apgaulingas veidrodis,2003,240
283,,David Gemmell,Vilko irštva,2003,272
284,,"Lloyd Biggle Jr., Robert Silverberg",Paminklas (Gimęs su mirusiais),2003,272
285,1,"Lawrence Watt-Evans, John Varley","Tamsiosios pusės miestas (Sudie, Robinzonai Kruzai)",2003,256
286,,Timothy Zahn,„Ikaro“ medžioklė,2003,320
287,1,"Mike Resnick, Robert Reed",Atgimęs našliadirbys (Garbės svečias),2003,240
288,užs.,Christopher Rowley,Žvaigždžių kūjis,2003,272
289,1,Aleksandr Gromov,Tūkstantis ir viena diena,2004,240
290,,Sergej Lukjanenko,Nakties sargyba,2004,320
291,,Neal Stephenson,Lavina (1 dalis),2004,240
292,1,Neal Stephenson,Lavina (2 dalis),2004,224
293,,"Sergej Lukjanenko, Vladimir Vasiljev",Dienos sargyba,2004,320
294,,Jack L. Chalker,Prieš laiko tėkmę,2004,272
295,1,James P. Hogan,Kūrėjo kodeksas,2004,288
296,,David Gemmell,Karalius anapus vartų,2004,288
297,1,Vladimir Vasiljev,Raganius iš didžiojo Kijevo,2004,272
298,1,David Weber,„Basilisko“ stotyje,2004,304
299,1,David Gemmell,Prarastieji didvyriai,2004,240
300,1,Jack L. Chalker,Srauto ir užuovėjų dvasios,2004,240
301,1,Jack L. Chalker,Srauto ir užuovėjų imperijos,2004,240
302,,Sergej Lukjanenko,Sutemų sargyba,2004,320
303,užs.,Philip Jose Farmer,Nemąstanti kaukė,2004,272
304,1,Nancy Kress,Svetima šviesa,2004,304
305,1,Bob Shaw,"Žvaigždžių vainikas, (3 apsakymai)",2004,256
306,,Sergej Lukjanenko,Spektras (1 dalis),2004,288
307,1,Sergej Lukjanenko,Spektras (2 dalis) (Skaidrūs vitražai),2004,272
308,1,Jack L. Chalker,Srauto ir užuovėjų valdovai,2004,320
309,,Robert Sheckley,Omega (ir dar 4 apsakymai),2004,240
310,1,David Gemmell,Druso kronikos,2004,320
311,1,Robert Charles Wilson,Chronolitai,2004,240
312,užs.,Arthur C. Clarke,"Tolimosios žemės dainos, (ir dar 3 apsakymai)",2004,288
313,1,Dmitrij Skiriuk,Rudens lapinas,2004,320
314,1,Dmitrij Skiriuk,Kalavijo sutemos,2004,320
315,1,Simon Clark,Karalius kraujas (1 dalis),2004,256
316,1,Simon Clark,Karalius kraujas (2 dalis),2004,272
317,1,Harry Harrison,Žiema Edene (1 dalis),2004,256
318,1,Harry Harrison,Žiema Edene (2 dalis ir dar 3 apsakymai) ,2004,240
319,1,Sviatoslav Loginov,Amžinoji šviesa,2004,252
320,,David Gemmell,Mirties įbrolis,2004,304
321,1,David Gemmell,Baltasis vilkas,2005,320
322,1,Sergej Lukjanenko,Šalčio krantai,2005,320
323,,Sergej Lukjanenko,Prieš rytą,2005,320
324,1,Mike Resnick,"Pasveikęs našliadirbys, (7 žvilgsniai į Oldovajaus tarpeklį)",2005,240
325,1,Harry Harrison,Sugrįžimas į edeną,2005,352
326,1,Clifford D. Simak,Mastodonija (Atvirkštinė evoliucija),2005,240
327,1,Leonid Aliochin,Puolę multiversumo angelai (1 dalis),2005,304
328,1,Leonid Aliochin,Puolę multiversumo angelai (2 dalis),2005,320
329,1,Vladimir Vasiljev,Laukinių sunkvežimių medžioklė,2005,320
330,,Lois McMaster Bujold,Sielų žiedas,2005,288
331,1,Connie Willis,Pasaulio pabaigos knyga (1 dalis),2005,320
332,1,Connie Willis,Pasaulio pabaigos knyga (2 dalis),2005,320
333,1,Alastair Reynolds,Apreiškimų erdvė (1 dalis),2005,304
334,1,Alastair Reynolds,Apreiškimų erdvė (2 dalis),2005,272
335,,Vladimir Vasiljev,Peterburgo sargyba (2 apsakymai),2005,288
336,1,"Viktor Burcev, Andrej Černecov",Himalajų zigzagas,2005,320
337,1,Robert Sheckley,"Pirmoji auka (Eriksas, Dėlė)",2005,224
338,1,Tim Powers,Vakarų širdis,2005,320
339,1,Richard K. Morgan,Skaitmeninės sąmonės (1 dalis),2005,272
340,,Richard K. Morgan,Skaitmeninės sąmonės (2 dalis),2005,272
341,1,Barrington J. Bayley,Žvaigždžių virusas (Didysis ratas),2005,256
342,1,Andrej Valentinov,Dezertyras,2005,320
343,,Sergej Lukjanenko,Genomas,2006,320
344,,"Robert Charles Wilson, Samuel R. Delany",Biosfera (Žvaigždžių duobė),2005,256
345,,Elizabeth A. Lynn,Sardonikso tinklas (1 dalis),2005,288
346,1,Elizabeth A. Lynn,Sardonikso tinklas (2 dalis),2005,272
347,1,Aleksej Baron,Vyresni už mus,2005,320
348,1,Ken Hood,Demono kardas,2005,320
349,,Glen Cook,Drakonas niekada nemiega,2005,368
350,,Clifford D. Simak,Blogio irštva,2005,272
