Nr.,Autoriai,Pavadinimas,Serija,Metai,Puslapių sk.,Leidykla,Miestas,ISBN,Būklė,Pirkimo kaina,Įsigyta,Kitos pastabos
1,G. Misevičius ir kt.,Aukštoji matematika,,,,,,,Puiki (nauja),"7,00 €",www.vinted.lt,
2,A. Kavaliauskas,Aukštosios matematikos uždavinynas,,,,,,,,"4,00 €",www.vinted.lt,
