Nr. ,Egz.,Autorius ,Pavadinimas ,Serija/Ciklas,Metai ,Psl.
1,1,Gintautas K. Ivanickas,Laumės mėnuo,Lietuvių fantastikos biblioteka,2003,173
2,1,Justinas Žilinskas,Genomas 3000,Genomas 3000,2004,286
